# field visit time xshift yshift rot scale rms N
j033239-274648 gs5-cxt-16-173.0-f105w 1513817852.0 0.483 -1.0727 0.0137 0.99996 0.179 29
j033239-274648 gs5-cxt-17-215.0-f105w 1513818140.0 3.8797 0.7888 -0.0112 0.99971 0.136 26
j033239-274648 gs5-cxt-18-215.0-f105w 1513818236.0 3.5757 0.7687 -0.0113 0.99996 0.145 25
j033239-274648 primo-bfu-p1-131.0-f160w 1513818333.0 0.31 1.6189 0.0151 1.00004 0.055 44
j033239-274648 primo-bfu-pa-137.0-f125w 1513818472.0 0.6369 1.2701 0.0119 0.9998 0.098 31
j033239-274648 primo-bfu-pb-137.0-f125w 1513818579.0 0.5867 1.286 0.0106 0.99997 0.059 32
j033239-274648 wfc3-ersii-g01-b6o-21-119.0-f098m 1513818701.0 -3.2464 2.6318 0.0001 0.99999 0.122 32
j033239-274648 wfc3-ersii-g01-b6o-23-119.0-f140w 1513818814.0 -3.1898 2.8327 0.0094 1.00002 0.071 40
j034015-290556 des16c2nm-ddp-01-215.0-f160w 1520288411.0 0.9356 0.2746 -0.0932 1.0002 0.718 12
j034719+255052 cl-melotte-22-plzj-100-bk9-02-354.0-f140w 1520289025.0 -2.223 1.286 0.0363 1.00023 0.13 26
j034959-565826 wise0350-56-bl4-03-078.0-f140w 1515724840.0 -1.5722 1.0385 0.0108 1.00048 0.083 5
j035512+243614 cl-melotte-22-plzj-93-bk9-01-308.0-f140w 1520289868.0 -2.0644 1.7478 0.0199 1.00011 0.182 29
j035933-540151 wise0359-54-bl4-04-072.0-f140w 1515730618.0 -1.9938 -0.695 -0.0057 1.00032 0.034 3
j040443-642034 wise0404-6420-c6f-07-254.0-f125w 1515734295.0 -3.5621 -3.6176 0.0112 1.00062 0.142 139
j040443-642034 wise0404-6420-c6f-08-320.0-f105w 1515734053.0 -3.7823 -3.3439 -0.0004 1.00053 0.006 4
j040443-642034 wise0404-6420-c6f-09-320.0-f125w 1515734167.0 -4.1307 -3.7798 0.0111 1.00058 0.078 54
j041609-240430 macs0416-2403-bst-a2-063.0-f160w 1514549768.0 -2.6614 0.7296 0.0089 1.00004 0.111 289
j041609-240430 macs0416-2403-bst-a4-063.0-f105w 1514550386.0 -2.5466 0.6886 0.003 0.99995 0.094 247
j041609-240430 macs0416-2403-bst-a4-063.0-f160w 1514548751.0 -2.633 0.7653 0.0085 1.00002 0.095 259
j041609-240430 macs0416-2403-bst-a9-063.0-f160w 1514548794.0 -3.0473 0.6759 0.0076 1.00002 0.095 292
j041609-240430 macs0416-2403-bst-b1-092.0-f140w 1514550035.0 -2.5353 -1.8239 0.0082 0.99994 0.08 275
j041609-240430 macs0416-2403-bst-b6-092.0-f105w 1514550344.0 -2.3238 -1.7381 -0.0021 0.99985 0.08 236
j041609-240430 macs0416-2403-bst-b6-092.0-f140w 1514549808.0 -2.6127 -1.9292 0.0085 0.99995 0.098 285
j041609-240430 macs0416-2403-bst-b8-092.0-f160w 1514548934.0 -2.9713 -1.8749 0.0058 1.0 0.085 247
j041609-240430 macs0416-ca9-k0-245.0-f160w 1514548841.0 -0.702 0.8166 0.0059 1.00004 0.099 277
j041609-240430 macs0416-ca9-k1-245.0-f105w 1514551010.0 -0.2957 0.8739 0.0028 0.99995 0.087 235
j041609-240430 macs0416.1-2403-ca5-13-247.0-f105w 1514547908.0 -1.6627 -3.4214 0.0009 0.99991 0.297 60
j041609-240430 macs0416.1-2403-ca5-13-247.0-f140w 1514548154.0 -1.808 -3.3872 0.0113 0.99997 0.084 133
j041609-240430 macs0416.1-2403-ca5-14-247.0-f105w 1514548021.0 -1.9902 -3.5454 -0.0004 0.9999 0.063 103
j041609-240430 macs0416.1-2403-ca5-14-247.0-f140w 1514549916.0 -1.976 -3.5319 0.0094 0.99999 0.114 261
j041609-240430 macs0416.1-2403-rot-ca5-15-164.0-f105w 1514548278.0 0.5727 0.6875 0.0049 0.99986 0.063 93
j041609-240430 macs0416.1-2403-rot-ca5-15-164.0-f140w 1514548523.0 0.6047 0.7151 0.0126 0.99988 0.07 113
j041609-240430 macs0416.1-2403-rot-ca5-16-164.0-f105w 1514548390.0 0.9086 1.157 -0.0019 0.99986 0.075 102
j041609-240430 macs0416.1-2403-rot-ca5-16-164.0-f140w 1514549856.0 0.95 1.2299 0.0067 0.99982 0.145 277
j041609-240430 macsj0416.1-2403-c8o-38-067.0-f140w 1514550084.0 -0.4727 1.0909 0.0125 0.99999 0.065 292
j041609-240430 macsj0416.1-2403-c8o-45-067.0-f140w 1514549977.0 -0.5494 1.1037 0.0117 0.99999 0.056 299
j041609-240430 macsj0416.1-2403-c8o-51-067.0-f140w 1514550153.0 -0.4965 1.0628 0.0109 1.0 0.069 299
j041609-240430 macsj0416.1-2403-c8o-55-067.0-f140w 1514550219.0 -0.6058 1.0434 0.0115 1.0 0.068 302
j041609-240430 macsj0416.1-2403-c8o-63-067.0-f140w 1514550286.0 -0.4465 0.9621 0.012 1.00003 0.063 292
j041609-240430 macsj0416.1-2403-c8o-81-067.0-f105w 1514551197.0 -0.3487 1.1034 0.0036 0.99994 0.076 256
j041609-240430 macsj0416.1-2403-c8o-81-067.0-f160w 1514548991.0 -0.4227 1.1784 0.0095 1.00004 0.06 303
j041609-240430 macsj0416.1-2403-c8o-82-067.0-f105w 1514551133.0 -0.3968 1.2597 0.0021 0.99994 0.076 253
j041609-240430 macsj0416.1-2403-c8o-82-067.0-f160w 1514549057.0 -0.43 1.2884 0.0076 1.00004 0.062 309
j041609-240430 macsj0416.1-2403-c8o-83-067.0-f105w 1514551069.0 -0.4045 1.29 0.0021 0.99996 0.077 254
j041609-240430 macsj0416.1-2403-c8o-83-067.0-f160w 1514549190.0 -0.4762 1.3074 0.009 1.00007 0.061 303
j041609-240430 macsj0416.1-2403-c8o-91-067.0-f105w 1514550441.0 -0.5751 1.0245 0.0049 0.99995 0.063 242
j041609-240430 macsj0416.1-2403-c8o-91-067.0-f160w 1514549124.0 -0.6255 1.1142 0.0109 1.00005 0.065 303
j041609-240430 macsj0416.1-2403-c8o-92-067.0-f105w 1514550504.0 -0.4883 1.044 0.0031 0.99995 0.078 257
j041609-240430 macsj0416.1-2403-c8o-92-067.0-f160w 1514548693.0 -0.5406 1.164 0.0108 1.00003 0.11 284
j041609-240430 macsj0416.1-2403-c8o-93-067.0-f105w 1514550567.0 -0.4087 1.1646 0.0027 0.99994 0.081 257
j041609-240430 macsj0416.1-2403-c8o-93-067.0-f160w 1514549256.0 -0.4994 1.1872 0.0097 1.00007 0.059 300
j041609-240430 macsj0416.1-2403-c8o-94-067.0-f105w 1514550946.0 -0.3936 1.2427 0.0012 0.99993 0.075 245
j041609-240430 macsj0416.1-2403-c8o-94-067.0-f160w 1514549324.0 -0.5297 1.2252 0.0089 1.00005 0.069 299
j041609-240430 macsj0416.1-2403-c8o-95-067.0-f105w 1514550877.0 -0.3678 1.3773 0.0017 0.99994 0.061 244
j041609-240430 macsj0416.1-2403-c8o-95-067.0-f160w 1514549390.0 -0.487 1.382 0.0081 1.00005 0.059 298
j041609-240430 macsj0416.1-2403-c8o-96-067.0-f105w 1514550816.0 -0.5983 1.7184 -0.0019 0.99994 0.065 248
j041609-240430 macsj0416.1-2403-c8o-96-067.0-f160w 1514549455.0 -0.7103 1.6965 0.0043 1.00006 0.071 301
j041609-240430 macsj0416.1-2403-c8o-97-067.0-f105w 1514550754.0 -0.646 1.7226 -0.0016 0.99994 0.068 258
j041609-240430 macsj0416.1-2403-c8o-97-067.0-f160w 1514549521.0 -0.7656 1.723 0.0041 1.00005 0.06 302
j041609-240430 macsj0416.1-2403-c8o-98-067.0-f105w 1514550690.0 -0.4112 1.1424 0.0037 0.99992 0.071 256
j041609-240430 macsj0416.1-2403-c8o-98-067.0-f160w 1514549586.0 -0.6015 1.1037 0.0096 1.00006 0.077 299
j041609-240430 macsj0416.1-2403-c8o-99-067.0-f105w 1514550628.0 -0.3592 1.1281 0.0023 0.99995 0.077 251
j041609-240430 macsj0416.1-2403-c8o-99-067.0-f160w 1514549651.0 -0.5072 1.1192 0.0088 1.00004 0.061 302
j041609-240430 sn-m0416-ir-ca9-s1-073.0-f160w 1514549717.0 -0.4908 1.5304 0.0112 0.99988 0.098 274
j041609-240430 sn-m0416-ir-ca9-s4-080.0-f160w 1514548883.0 0.4091 3.0623 0.0102 0.99989 0.111 293
j041609-240430 sn-m0416-ir-ca9-s5-082.0-f160w 1514548638.0 0.2722 3.1127 0.0109 0.99989 0.108 239
j043814-121709 he0435-1223-byg-01-124.0-f160w 1514657188.0 0.6906 2.0538 0.0111 1.00025 0.136 164
j043814-121709 he0435-1223-co2-01-103.0-f140w 1514656982.0 0.0684 1.9046 0.0133 1.0001 0.126 21
j045213-164012 q0449-1645-br9-05-117.0-f140w 1514657927.0 -4.0048 -3.6378 0.0266 1.00049 0.131 19
j045213-164012 q0449-1645-br9-20-137.0-f140w 1514658000.0 -4.6737 -3.116 0.0191 1.00055 0.054 34
j045213-164012 q0449-field-b2v-53-153.0-f160w 1514658098.0 -3.0596 2.5825 0.0173 1.00062 0.113 107
j045213-164012 q0452-cop-08-040.0-f105w 1514658180.0 -3.6273 -4.6732 0.0101 1.00056 0.137 90
j051707-441055 he0515-4414-d7h-09-328.0-f140w 1514663969.0 -0.2668 -0.2689 0.0121 0.99994 0.069 57
j051707-441055 he0515-4414-d7h-09-328.0-f160w 1514664199.0 -0.4024 -0.2785 0.0098 1.00001 0.142 194
j051707-441055 he0515-4414-d7h-10-358.0-f140w 1514664067.0 -0.39 -0.0562 0.0112 1.00002 0.116 56
j051707-441055 he0515-4414-d7h-10-358.0-f160w 1514664164.0 -0.4596 -0.0486 0.0084 1.0001 0.128 179
j051707-441055 he0515-4414-d7h-11-028.0-f140w 1514663771.0 -1.2262 -2.4532 0.0143 0.99992 0.191 7
j051707-441055 he0515-4414-d7h-11-028.0-f160w 1514664271.0 -1.2976 -2.4351 0.0142 1.0 0.14 183
j051707-441055 he0515-4414-d7h-12-058.0-f140w 1514663870.0 -1.9689 -1.7535 0.0116 0.99981 0.087 56
j051707-441055 he0515-4414-d7h-12-058.0-f160w 1514664235.0 -1.976 -1.6748 0.0086 0.99981 0.115 184
j053516-750021 wise0535-75-bl4-08-097.0-f140w 1515736575.0 -0.1896 0.3407 0.0151 1.00014 0.091 76
j053516-750021 wise0535-7500-c2j-0f-117.0-f105w 1515736846.0 -0.7429 0.5963 0.0041 1.00013 0.042 189
j053516-750021 wise0535-7500-c2j-0g-171.0-f105w 1515736986.0 0.0365 0.6099 0.0039 1.0001 0.063 183
j053516-750021 wise0535-7500-c2j-35-111.0-f125w 1515737125.0 -0.8281 0.0598 0.0129 1.00021 0.052 189
j053516-750021 wise0535-7500-c2j-68-111.0-f105w 1515736705.0 -0.3302 0.4333 0.0052 1.00011 0.052 183
j053516-750021 wise05351-75002-bql-01-102.0-f140w 1515737276.0 -0.4103 0.5813 0.0159 1.00013 0.042 175
j053809-023625 mayrit-520267-bk9-03-083.0-f140w 1520290667.0 -2.2044 -0.4362 0.0064 1.00015 0.122 24
j053814-024510 bzr99-s-ori-73-bk9-04-096.0-f140w 1520290910.0 -3.5359 1.5624 0.0153 1.00021 0.11 23
j064750+701452 macs0647+7015-bff-a2-058.0-f160w 1514247511.0 -3.2986 -2.7534 0.0307 1.00047 0.099 293
j064750+701452 macs0647+7015-bff-a4-058.0-f105w 1514247675.0 -3.1665 -2.6949 0.0231 1.00043 0.097 243
j064750+701452 macs0647+7015-bff-a4-058.0-f140w 1514247592.0 -3.3411 -2.7612 0.0316 1.00042 0.081 285
j064750+701452 macs0647+7015-bff-a9-058.0-f160w 1514247458.0 -3.3242 -2.6259 0.0274 1.00049 0.096 282
j064750+701452 macs0647+7015-bff-b1-077.0-f160w 1514247407.0 0.1165 0.4583 0.0297 1.00056 0.095 301
j064750+701452 macs0647+7015-bff-b6-077.0-f105w 1514247634.0 0.0979 0.3861 0.0239 1.00044 0.098 237
j064750+701452 macs0647+7015-bff-b6-077.0-f140w 1514247553.0 0.0345 0.3621 0.0336 1.00047 0.09 290
j064750+701452 macs0647+7015-bff-b8-077.0-f160w 1514247355.0 0.3622 0.7175 0.0291 1.00057 0.097 245
j064750+701452 macs0647+7015-cc9-01-233.0-f140w 1514246968.0 -0.69 0.6135 0.0365 1.00045 0.074 93
j064750+701452 macs0647+7015-cc9-04-109.0-f140w 1514246771.0 -0.0717 0.8404 0.0347 1.0005 0.253 20
j064750+701452 macs0647+7015-cc9-05-289.0-f140w 1514247168.0 0.4005 -0.3067 0.0332 1.00043 0.059 101
j074452+392728 macs0744+3927-bf2-a2-075.0-f160w 1514705215.0 -2.7891 -0.9454 0.0274 1.00041 0.119 298
j074452+392728 macs0744+3927-bf2-a4-075.0-f105w 1514705731.0 -2.9478 -1.0501 0.0201 1.00032 0.096 272
j074452+392728 macs0744+3927-bf2-a4-075.0-f140w 1514705442.0 -3.0013 -1.0958 0.0297 1.00031 0.097 318
j074452+392728 macs0744+3927-bf2-a9-075.0-f160w 1514705260.0 -3.2239 -1.0112 0.0273 1.00038 0.094 335
j074452+392728 macs0744+3927-bf2-b1-104.0-f160w 1514705310.0 -1.334 1.2354 0.0261 1.00043 0.095 308
j074452+392728 macs0744+3927-bf2-b6-104.0-f105w 1514705651.0 -1.522 0.813 0.0165 1.00029 0.097 263
j074452+392728 macs0744+3927-bf2-b6-104.0-f140w 1514705484.0 -1.4601 0.8964 0.0274 1.00033 0.082 288
j074452+392728 macs0744+3927-bf2-b8-104.0-f160w 1514705357.0 -1.5992 0.8934 0.0251 1.00042 0.091 313
j074452+392728 macs0744.9+3927-ca5-37-104.0-f105w 1514704731.0 -1.2148 1.1216 0.0172 1.00027 0.081 100
j074452+392728 macs0744.9+3927-ca5-37-104.0-f140w 1514705105.0 -1.5397 0.8844 0.0284 1.00036 0.051 120
j074452+392728 macs0744.9+3927-ca5-38-104.0-f105w 1514704845.0 -1.2836 1.163 0.0187 1.00022 0.075 107
j074452+392728 macs0744.9+3927-ca5-38-104.0-f140w 1514705537.0 -1.6865 0.8869 0.0269 1.00032 0.095 306
j074452+392728 macs0744.9+3927-ca5-39-019.0-f105w 1514704479.0 -1.9089 -0.8128 0.015 1.00026 0.228 26
j074452+392728 macs0744.9+3927-ca5-39-019.0-f140w 1514704980.0 -2.1312 -0.9843 0.0245 1.00028 0.079 133
j074452+392728 macs0744.9+3927-ca5-40-019.0-f105w 1514704598.0 -2.0681 -0.9746 0.0136 1.00018 0.064 113
j074452+392728 macs0744.9+3927-ca5-40-019.0-f140w 1514705599.0 -2.4207 -1.2162 0.026 1.00029 0.105 322
j074452+392728 macsj0744.9+3927-y1-bo1-f2-089.0-f105w 1514705689.0 -3.0869 -0.4269 0.0167 1.00039 0.112 230
j074452+392728 macsj0744.9+3927-y1-bo1-f2-089.0-f140w 1514705404.0 -2.9032 -0.2536 0.0283 1.00043 0.091 125
j075054+425215 2massij0750546+425219-d7h-13-290.0-f140w 1514797514.0 -0.0149 0.4457 0.0118 0.99993 0.056 33
j075054+425215 2massij0750546+425219-d7h-13-290.0-f160w 1514797876.0 -0.2298 0.4125 0.0139 1.00007 0.131 153
j075054+425215 2massij0750546+425219-d7h-14-320.0-f140w 1514797614.0 -0.8175 -2.0574 0.0206 0.99988 0.087 34
j075054+425215 2massij0750546+425219-d7h-14-320.0-f160w 1514797842.0 -0.8816 -2.0241 0.0158 0.99998 0.1 139
j075054+425215 2massij0750546+425219-d7h-15-350.0-f140w 1514797715.0 1.7028 -0.9234 0.0172 0.99988 0.068 39
j075054+425215 2massij0750546+425219-d7h-15-350.0-f160w 1514797808.0 1.6472 -0.8793 0.0176 0.99991 0.163 150
j075054+425215 2massij0750546+425219-d7h-16-020.0-f140w 1514797417.0 0.8993 -1.3621 0.0229 0.99981 0.176 20
j075054+425215 2massij0750546+425219-d7h-16-020.0-f160w 1514797911.0 0.849 -1.2631 0.02 0.99983 0.15 154
j080015+403000 j0800+4029-cou-09-080.0-f140w 1514821487.0 -0.8229 1.8782 0.0319 1.00038 0.121 19
j080015+403000 j0800+4029-cou-10-117.0-f140w 1514821612.0 -0.979 0.0342 0.0268 1.00033 0.054 34
j080057+361413 a611ring-c98-01-069.0-f105w 1520291911.0 2.279 1.5571 -0.0089 1.00003 0.129 158
j080057+361413 a611ring-c98-01-069.0-f140w 1520291709.0 2.1777 1.4581 0.0015 1.00007 0.199 13
j080057+361413 a611ring-c98-03-345.0-f105w 1520291812.0 -0.4006 -0.2494 -0.0037 1.00006 0.1 42
j081331+254503 hs0810+2554-co2-02-288.0-f140w 1514834938.0 0.6419 0.5186 0.0253 1.00012 0.202 21
j081331+254503 qso-b0810+2554-d7h-17-025.0-f140w 1514835047.0 0.5657 -1.2097 0.0275 1.00003 0.085 56
j081331+254503 qso-b0810+2554-d7h-17-025.0-f160w 1514835547.0 0.4626 -1.209 0.0257 1.00017 0.176 216
j081331+254503 qso-b0810+2554-d7h-18-055.0-f140w 1514835144.0 0.0834 -1.495 0.0298 1.0 0.049 50
j081331+254503 qso-b0810+2554-d7h-18-055.0-f160w 1514835513.0 0.0111 -1.4225 0.0276 1.00002 0.174 208
j081331+254503 qso-b0810+2554-d7h-19-085.0-f140w 1514835242.0 0.5619 -0.0058 0.0289 1.00003 0.08 58
j081331+254503 qso-b0810+2554-d7h-19-085.0-f160w 1514835478.0 0.5914 -0.0772 0.0254 1.00006 0.138 215
j081331+254503 qso-b0810+2554-d7h-20-115.0-f140w 1514835348.0 0.6399 -0.0762 0.0215 1.00001 0.09 56
j081331+254503 qso-b0810+2554-d7h-20-115.0-f160w 1514835440.0 0.5308 -0.0193 0.0187 1.00008 0.11 192
j082107+310748 q0821+3107-br9-06-293.0-f140w 1514872089.0 -1.9384 -2.2157 -0.0048 1.00005 0.096 73
j082107+310748 q0821+3107-br9-21-093.0-f140w 1514872015.0 -2.1317 -0.8011 -0.0063 1.00016 0.167 38
j082946+185222 sdss-j082946.90+185222.0-cbw-03-312.0-f140w 1514880994.0 -1.0812 0.4848 -0.0084 1.00005 0.069 39
j082946+185222 sdss-j082946.90+185222.0-cbw-12-078.0-f140w 1514880922.0 -0.2458 0.9798 -0.0106 0.99996 0.169 21
j083852+025700 sdss-j083852.05+025703.7-cbw-05-251.0-f140w 1514889230.0 0.983 -1.3417 0.0012 1.00021 0.122 15
j083852+025700 sdss-j083852.05+025703.7-cbw-14-274.0-f140w 1514889309.0 0.7294 0.5072 -0.0056 1.0002 0.072 44
j085138+333108 sdssj0851+3331-sgas-d66-1a-345.0-f160w 1515748957.0 -1.8561 -4.9191 -0.0054 1.0002 0.228 49
j085138+333108 sdssj0851+3331-sgas-d66-1b-345.0-f160w 1515749008.0 -2.2053 -4.8109 -0.008 1.00023 0.079 108
j085138+333108 sdssj0851+3331-sgas-d66-1c-345.0-f160w 1515749058.0 -2.604 -4.6914 -0.0132 1.0002 0.074 109
j085138+333108 sdssj0851+3331-sgas-d66-1d-345.0-f160w 1515749109.0 -1.9023 -5.3461 -0.0011 1.00026 0.1 112
j085138+333108 sdssj0851+3331-sgas-d66-1e-345.0-f105w 1515749160.0 -1.9955 -4.9461 -0.0143 1.0002 0.087 98
j085138+333108 sdssj0851+3331-sgas-d66-1f-345.0-f105w 1515749213.0 -1.6871 -4.8954 -0.014 1.00011 0.127 98
j085138+333108 sdssj0851+3331-sgas-d66-2a-351.0-f105w 1515749263.0 -2.1112 -4.773 -0.0066 1.00017 0.093 89
j085138+333108 sdssj0851+3331-sgas-d66-2b-351.0-f105w 1515749313.0 -1.9669 -4.2483 -0.0126 1.00014 0.092 97
j085138+333108 sdssj0851+3331-sgas-d66-2c-351.0-f105w 1515749362.0 -2.0232 -4.4674 -0.0082 1.00009 0.075 98
j085138+333108 sdssj0851+3331-sgas-d66-2d-351.0-f105w 1515749413.0 -2.4934 -4.1362 -0.02 1.00018 0.1 94
j085138+333108 sdssj0851+3331-sgas-d66-2e-351.0-f160w 1515749462.0 -2.5428 -4.8356 -0.0052 1.00025 0.102 107
j085138+333108 sdssj0851+3331-sgas-d66-2f-351.0-f160w 1515749514.0 -2.6891 -4.96 -0.0059 1.00025 0.098 112
j090307+075714 09030762+0757108-bk9-56-100.0-f140w 1520291986.0 -2.2379 1.677 0.0314 1.00003 0.431 17
j091127+055052 rxj0911+0551-byh-02-103.0-f160w 1514896375.0 1.3592 1.5929 0.0419 0.99922 0.207 84
j091127+055052 rxj0911+0551-co2-03-298.0-f140w 1514896221.0 0.5694 1.2604 0.0427 0.99944 0.542 14
j091730+324106 sdss-j091730.18+324105.5-cbw-01-312.0-f140w 1514997502.0 0.2667 -2.3444 -0.0044 1.00008 0.086 53
j091730+324106 sdss-j091730.18+324105.5-cbw-10-078.0-f140w 1514997435.0 -1.3406 0.8007 0.0043 1.00014 0.159 17
j095432+354022 sdss-j095432.63+354027.7-cbw-07-304.0-f140w 1514998833.0 -0.0565 -0.2766 -0.0009 1.00024 0.064 30
j095432+354022 sdss-j095432.63+354027.7-cbw-16-011.0-f140w 1514998768.0 -1.0053 -0.133 0.0064 1.00025 0.071 8
j095804-290401 mrc0955-288-cou-17-079.0-f140w 1515004391.0 -1.5069 -2.6146 0.0186 0.9999 0.321 21
j095804-290401 mrc0955-288-cou-18-116.0-f140w 1515004513.0 0.0322 -0.3296 0.0133 0.99993 0.059 53
j095915+024416 cosmos-agn2-bl0-14-105.0-f140w 1520293031.0 -4.3369 -0.2759 0.0214 1.00025 0.026 34
j095915+024416 cosmos-agn2-bl0-16-120.0-f140w 1520293141.0 -0.9036 -0.6104 0.0221 1.00013 0.026 31
j095930+022150 cosmos-agn1-bl0-13-105.0-f140w 1520293568.0 0.9977 1.8593 0.0198 1.0005 0.019 35
j095930+022150 cosmos-agn1-bl0-15-120.0-f140w 1520293676.0 0.511 -0.6513 0.0151 1.00051 0.02 40
j100307+324528 ibtt-073.0-f140w 1513968078.0 -1.0754 -0.5021 0.0488 1.00007 0.045 37
j101154+294142 q1009+29-br9-07-093.0-f140w 1515019797.0 0.3216 0.9224 0.0094 0.99985 0.374 13
j101154+294142 q1009+29-br9-22-113.0-f140w 1515019862.0 0.247 1.3276 0.0074 0.99983 0.081 29
j101154+294142 q1009-field-b2v-04-087.0-f160w 1515019953.0 -2.1098 1.8345 0.0057 1.00004 0.17 159
j101725+611630 j1017+6116-cou-05-032.0-f140w 1515372994.0 0.0 0.0 0.0 1.0 0.0 0
j101725+611630 j1017+6116-cou-06-059.0-f140w 1515373118.0 1.0096 -0.0755 -0.0083 1.00002 0.114 43
j101725+611630 j1017+6116-cou-56-129.0-f140w 1515373251.0 0.1646 -4.6351 0.0023 0.99996 0.083 49
j101827+053025 j1018+0530-cou-39-285.0-f140w 1515372961.0 -0.9603 -0.2776 0.0168 0.99982 0.19 17
j101827+053025 j1018+0530-cou-40-305.0-f140w 1515373082.0 -0.3008 -0.4505 0.0152 0.99986 0.053 37
j101956+274406 qso-j1019+2745-d7h-21-020.0-f140w 1515386574.0 0.0364 -1.3173 0.0257 1.00038 0.305 13
j101956+274406 qso-j1019+2745-d7h-21-020.0-f160w 1515387021.0 -0.2636 -1.492 0.0233 1.00044 0.143 177
j101956+274406 qso-j1019+2745-d7h-22-050.0-f140w 1515386665.0 -1.9924 1.2871 0.0209 1.0004 0.067 34
j101956+274406 qso-j1019+2745-d7h-22-050.0-f160w 1515386991.0 -2.3416 1.0681 0.0164 1.00051 0.149 162
j101956+274406 qso-j1019+2745-d7h-23-080.0-f140w 1515386755.0 -0.7951 0.6835 0.0179 1.00041 0.098 34
j101956+274406 qso-j1019+2745-d7h-23-080.0-f160w 1515386962.0 -1.0693 0.488 0.0146 1.0005 0.156 167
j101956+274406 qso-j1019+2745-d7h-24-110.0-f140w 1515386846.0 -0.3051 1.4543 0.0168 1.00035 0.081 34
j101956+274406 qso-j1019+2745-d7h-24-110.0-f160w 1515386932.0 -0.5314 1.3644 0.0148 1.00046 0.182 183
j104733+574124 sparcs-1047-ckt-10-014.0-f140w 1515393828.0 -0.9194 -0.8767 0.0321 0.99972 0.353 33
j104831+444427 6css1054+4459-cou-21-297.0-f140w 1514212015.0 -1.1167 -3.5023 0.0164 1.00024 0.093 37
j104831+444427 6css1054+4459-cou-22-078.0-f140w 1514211902.0 -0.8309 1.6035 0.0061 1.00015 0.272 15
j105105+581807 sparcs-1051-east-ckt-06-125.0-f140w 1515402557.0 -2.007 0.2668 0.0287 1.00127 0.69 16
j105105+581807 sparcs-1051-west-ckt-16-125.0-f140w 1515402671.0 1.0844 -2.1966 0.0017 1.00044 0.176 23
j105231+080603 j1052+0806-cou-19-287.0-f140w 1515413145.0 -0.2404 3.3451 -0.0023 0.99999 0.202 11
j105231+080603 j1052+0806-cou-20-307.0-f140w 1515413260.0 -0.2241 2.7787 -0.0085 1.00004 0.077 42
j105352+580455 j105348+580444-cca-07-300.0-f160w 1515417381.0 0.533 -1.9824 0.0235 1.00022 0.051 27
j105352+580455 j105348+580444-cca-08-000.0-f160w 1515417274.0 -1.5378 -2.8229 0.0191 1.00023 0.405 23
j105834-125342 cl1059-12.3-c1b-04-294.0-f105w 1515427534.0 0.0 0.0 0.0 1.0 0.0 0
j105905-125331 cl1059-12.1-c1b-02-269.0-f105w 1515429889.0 -1.9082 -2.5341 0.0033 1.0002 0.321 25
j105905-125331 cl1059-12.2-c1b-03-269.0-f105w 1515430007.0 1.7973 2.3002 -0.0007 0.99988 0.247 30
j105907-124619 cl1059-12.0-c1b-01-145.0-f105w 1515433752.0 0.6302 3.1356 -0.0438 0.99995 0.675 19
j110326+344948 6ce1100+3505-cou-03-000.0-f140w 1515439732.0 -1.3909 -0.4794 0.0161 1.00024 0.257 20
j110326+344948 6ce1100+3505-cou-04-122.0-f140w 1515439844.0 -0.726 0.4083 0.0215 1.00031 0.053 34
j110742+102121 sdss-j110742.74+102126.3-cbw-06-289.0-f140w 1515446286.0 0.62 -0.3138 -0.0099 0.99945 0.043 5
j110742+102121 sdss-j110742.74+102126.3-cbw-15-319.0-f140w 1515446358.0 0.3154 0.1456 -0.009 0.99944 0.079 37
j112443-170520 2massij1124428-170517-d7h-25-201.0-f140w 1515453444.0 1.8165 1.3855 0.0156 1.0003 0.232 26
j112443-170520 2massij1124428-170517-d7h-25-201.0-f160w 1515453912.0 1.4634 1.2648 0.0121 1.00039 0.124 190
j112443-170520 2massij1124428-170517-d7h-26-231.0-f140w 1515453537.0 1.2359 -1.7802 0.0089 1.00031 0.079 70
j112443-170520 2massij1124428-170517-d7h-26-231.0-f160w 1515453878.0 0.8893 -1.947 0.0059 1.00038 0.15 190
j112443-170520 2massij1124428-170517-d7h-27-261.0-f140w 1515453629.0 1.6305 -0.4694 0.011 1.00036 0.077 62
j112443-170520 2massij1124428-170517-d7h-27-261.0-f160w 1515453845.0 1.3133 -0.6103 0.0102 1.00037 0.118 185
j112443-170520 2massij1124428-170517-d7h-28-291.0-f140w 1515453720.0 -0.3742 -1.3648 0.0125 1.00026 0.102 69
j112443-170520 2massij1124428-170517-d7h-28-291.0-f160w 1515453812.0 -0.6744 -1.5275 0.0059 1.00035 0.125 200
j112914+095154 j1129+0951-cou-07-295.0-f140w 1515453724.0 -0.6169 -0.9826 0.0545 1.00019 0.141 10
j112914+095154 j1129+0951-cou-08-315.0-f140w 1515453849.0 -1.3163 -1.6442 0.0491 1.00025 0.096 33
j113007-144930 qso-j1130-1449-d7h-30-237.0-f140w 1515467194.0 0.6655 -2.7473 0.0023 0.99987 0.26 35
j113007-144930 qso-j1130-1449-d7h-30-237.0-f160w 1515467546.0 0.5806 -2.6557 -0.0027 0.99989 0.139 207
j113007-144930 qso-j1130-1449-d7h-31-250.0-f140w 1515467290.0 -0.4173 -2.6792 0.0019 0.99982 0.054 56
