# field visit time xshift yshift rot scale rms N
j001421-302349 abell-2744-c8n-27-233.0-f105w 1514260745.0 -0.2281 -0.8697 0.0141 1.00017 0.074 263
j001421-302349 abell-2744-c8n-28-233.0-f140w 1514260168.0 -0.5574 -1.4229 0.0214 1.0002 0.055 277
j001421-302349 abell-2744-c8n-29-233.0-f105w 1514260681.0 -0.6026 -1.2913 0.0102 1.00018 0.069 254
j001421-302349 abell-2744-c8n-31-233.0-f160w 1514259359.0 -0.2821 -0.7441 0.0205 1.00024 0.065 294
j001421-302349 abell-2744-c8n-33-233.0-f160w 1514258985.0 -0.0218 -0.6332 0.0213 1.00026 0.068 289
j001421-302349 abell-2744-c8n-34-233.0-f105w 1514260618.0 -0.6351 -1.1937 0.0107 1.0002 0.078 255
j001421-302349 abell-2744-c8n-35-233.0-f160w 1514258683.0 0.5757 -0.4554 0.0214 1.00026 0.124 278
j001421-302349 abell-2744-ca9-aa-136.0-f105w 1514260505.0 -4.042 1.8118 0.0116 1.00019 0.093 248
j001421-302349 abell-2744-ca9-aa-136.0-f160w 1514259078.0 -4.0947 1.9069 0.018 1.00027 0.095 241
j001452+091221 sdss-j001453.19+091217.6-cbw-08-064.0-f140w 1514293934.0 1.7583 3.8492 0.003 1.00031 0.132 13
j001452+091221 sdss-j001453.19+091217.6-cbw-17-084.0-f140w 1514294016.0 0.6349 -0.1714 0.0042 1.00036 0.095 40
j001517-795544 ibtt-164.0-f140w 1520360085.0 0.0 0.0 0.0 1.0 0.0 0
j002322+154232 id1k-243.0-f110w 1520360450.0 1.6502 0.5138 0.0355 1.00022 0.031 32
j002322+154232 id1k-243.0-f160w 1520360545.0 1.3353 0.5374 0.0267 1.00025 0.122 37
j002345-741738 ibtt-186.0-f140w 1520360604.0 0.0371 1.0827 0.0145 1.00017 0.044 68
j003442-430813 sparcs-0034-east-ckt-01-219.0-f140w 1514293947.0 0.0 0.0 0.0 1.0 nan 0
j003442-430813 sparcs-0034-west-ckt-11-219.0-f140w 1514294105.0 -0.1373 2.0757 0.0041 1.00045 0.0 2
j003548-431221 sparcs-0035-east-ckt-04-225.0-f140w 1514302213.0 0.2147 -1.2986 0.006 1.0 0.01 4
j003548-431221 sparcs-0035-west-ckt-20-225.0-f140w 1514302325.0 0.0 0.0 0.0 1.0 0.0 0
j003548-431221 sparcs-j003550-431210-cn1-73-079.0-f105w 1514303058.0 0.7645 2.9334 -0.0006 0.99998 0.12 204
j003548-431221 sparcs-j003550-431210-cn1-73-079.0-f140w 1514302434.0 0.6461 2.8405 0.0086 1.00004 0.086 226
j003548-431221 sparcs-j003550-431210-cn1-73-079.0-f814w 1520967700.0 2.0 7.75 0.0 1.0 -1.0 -1
j003548-431221 sparcs-j003550-431210-cn1-74-114.0-f105w 1514303146.0 2.3044 2.5135 0.0009 1.00001 0.118 222
j003548-431221 sparcs-j003550-431210-cn1-74-114.0-f140w 1514302706.0 2.2079 2.4163 0.0131 1.00008 0.11 259
j003548-431221 sparcs-j003550-431210-cn1-74-114.0-f814w 1520967735.0 7.5 5.25 0.0 1.0 -1.0 -1
j003548-431221 sparcs-j003550-431210-cn1-75-159.0-f105w 1514303191.0 -1.9669 -3.2701 -0.0002 0.99999 0.111 209
j003548-431221 sparcs-j003550-431210-cn1-75-159.0-f140w 1514302751.0 -2.0725 -3.3406 0.0101 1.00003 0.092 257
j003548-431221 sparcs-j003550-431210-cn1-75-159.0-f814w 1520967763.0 -6.5 -13.5 0.0 1.0 -1.0 -1
j003548-431221 sparcs-j003550-431210-cn1-99-053.0-f105w 1514302971.0 -0.114 2.6582 -0.0037 0.99999 0.163 213
j003548-431221 sparcs-j003550-431210-cn1-99-053.0-f140w 1514302574.0 -0.2593 2.5825 0.0043 1.00008 0.091 258
j003548-431221 sparcs-j003550-431210-cn1-99-053.0-f814w 1520967659.0 -1.625 7.25 0.0 1.0 -1.0 -1
j003548-431221 sparcs-j003550-431210-copy-cwb-3e-097.0-f105w 1514303230.0 0.6759 -1.9626 -0.0033 0.99996 0.099 197
j003548-431221 sparcs-j003550-431210-copy-cwb-3e-097.0-f140w 1514302395.0 0.5232 -2.0114 0.0039 0.99994 0.139 141
j003548-431221 sparcs-j003550-431210-copy-cwb-3e-097.0-f814w 1520967863.0 0.125 -8.125 0.0 1.0 -1.0 -1
j003548-431221 sparcs-j003550-431210-cwb-0i-205.0-f105w 1514303313.0 -2.8329 -1.6691 -0.0024 0.99995 0.111 222
j003548-431221 sparcs-j003550-431210-cwb-0i-205.0-f140w 1514302795.0 -2.9146 -1.7374 0.0048 0.99999 0.096 245
j003548-431221 sparcs-j003550-431210-cwb-0i-205.0-f814w 1520967780.0 -10.5 -8.5 0.0 1.0 -1.0 -1
j003548-431221 sparcs-j003550-431210-cwb-0j-215.0-f105w 1514303270.0 -2.6196 -0.9571 -0.0062 1.00003 0.163 226
j003548-431221 sparcs-j003550-431210-cwb-0j-215.0-f140w 1514302839.0 -2.6996 -1.0254 0.0045 1.00006 0.094 261
j003548-431221 sparcs-j003550-431210-cwb-0j-215.0-f814w 1520967798.0 -10.875 -6.375 0.0 1.0 -1.0 -1
j003548-431221 sparcs-j003550-431210-cwb-0k-011.0-f105w 1514302884.0 3.7928 -1.9145 0.0012 1.00003 0.131 207
j003548-431221 sparcs-j003550-431210-cwb-0k-011.0-f140w 1514302479.0 3.655 -1.9651 0.0112 1.00007 0.105 244
j003548-431221 sparcs-j003550-431210-cwb-0k-011.0-f814w 1520967621.0 10.5 -8.0 0.0 1.0 -1.0 -1
j003548-431221 sparcs-j003550-431210-cwb-0l-042.0-f105w 1514302928.0 2.2539 -3.1037 -0.0031 1.00003 0.117 211
j003548-431221 sparcs-j003550-431210-cwb-0l-042.0-f140w 1514302525.0 2.1448 -3.2349 0.0061 1.00008 0.104 254
j003548-431221 sparcs-j003550-431210-cwb-0l-042.0-f814w 1520967640.0 6.0 -12.0 0.0 1.0 -1.0 -1
j003548-431221 sparcs-j003550-431210-cwb-0m-064.0-f105w 1514303014.0 1.5519 -1.39 -0.0026 1.00004 0.159 205
j003548-431221 sparcs-j003550-431210-cwb-0m-064.0-f140w 1514302619.0 1.4293 -1.4318 0.0022 1.00005 0.086 245
j003548-431221 sparcs-j003550-431210-cwb-0m-064.0-f814w 1520967677.0 4.25 -6.0 0.0 1.0 -1.0 -1
j003548-431221 sparcs-j003550-431210-cwb-0n-091.0-f105w 1514303101.0 0.9282 -2.1774 -0.0007 0.99998 0.132 218
j003548-431221 sparcs-j003550-431210-cwb-0n-091.0-f140w 1514302663.0 0.8054 -2.2927 0.0093 1.00002 0.104 264
j003548-431221 sparcs-j003550-431210-cwb-0n-091.0-f814w 1520967717.0 2.25 -9.5 0.0 1.0 -1.0 -1
j003643-441055 sparcs-0036-east-ckt-02-169.0-f140w 1514307183.0 -0.5139 -1.5203 0.0189 1.0003 0.035 3
j003643-441055 sparcs-0036-west-ckt-12-169.0-f140w 1514307311.0 -1.3048 -1.6696 0.0156 1.0001 0.041 5
j003750+400433 ibtt-357.0-f140w 1520360966.0 1.87 1.1847 0.0312 0.99993 0.54 163
j003924+402255 ibtt-232.0-f140w 1520361679.0 -0.0035 -0.0005 -0.0004 1.0 0.039 2573
j003924+402255 ibtt-236.0-f140w 1520361510.0 0.004 -0.0001 0.0 1.0 0.038 2428
j004008+404420 ibtt-228.0-f140w 1520362046.0 0.0 0.0 0.0 1.0 0.0 0
j004008+404420 ibtt-259.0-f140w 1524509267.0 -0.5625 -0.125 0.0 1.0 -1.0 -1
j004048+404818 ibtt-359.0-f140w 1520362135.0 0.0188 2.0157 0.1102 0.99882 1.389 201
j004403-203346 xdcpj0044.0-0233-cmm-01-120.0-f140w 1520370592.0 2.2856 -3.4509 0.0252 1.00002 0.116 225
j004403-203346 xdcpj0044.0-0233-cmm-02-120.0-f140w 1520369786.0 2.4067 -3.6839 0.0261 1.00003 0.413 23
j004403-203346 xmm44-cn1-0g-084.0-f105w 1520370935.0 3.2514 3.1684 0.0167 0.99996 0.134 172
j004403-203346 xmm44-cn1-0g-084.0-f160w 1520370276.0 3.0058 3.1418 0.0196 1.00012 0.091 233
j004403-203346 xmm44-cn1-0h-084.0-f140w 1520370480.0 3.0845 3.0771 0.0222 1.00007 0.112 229
j004403-203346 xmm44-cn1-0h-084.0-f160w 1520370235.0 3.073 3.1718 0.0189 1.00012 0.119 222
j004403-203346 xmm44-cn1-64-044.0-f105w 1520370807.0 0.3931 3.7119 0.0143 0.99998 0.161 174
j004403-203346 xmm44-cn1-64-044.0-f140w 1520370399.0 0.2087 3.7234 0.0259 1.00005 0.126 220
j004403-203346 xmm44-cn1-65-061.0-f105w 1520370855.0 1.5489 4.705 0.0121 0.99998 0.12 168
j004403-203346 xmm44-cn1-65-061.0-f140w 1520370439.0 1.3992 4.6637 0.0249 1.00008 0.115 229
j004403-203346 xmm44-cn1-66-075.0-f105w 1520370894.0 2.9411 3.4279 0.013 0.99992 0.15 177
j004403-203346 xmm44-cn1-66-075.0-f140w 1520370316.0 2.7899 3.3467 0.0243 1.00007 0.141 220
j004403-203346 xmm44-cn1-67-099.0-f105w 1520370976.0 2.7901 -2.2018 0.0125 1.00002 0.11 180
j004403-203346 xmm44-cn1-67-099.0-f140w 1520370525.0 2.6825 -2.2243 0.0256 1.00004 0.081 204
j004403-203346 xmm44-cn1-76-175.0-f105w 1520371017.0 0.8703 -4.163 0.0145 1.00003 0.147 189
j004403-203346 xmm44-cn1-76-175.0-f140w 1520370356.0 0.8248 -4.1886 0.0249 0.99996 0.103 210
j004403-203346 xmm44-cwb-2c-221.0-f105w 1520370751.0 -1.4187 -4.4849 0.0119 0.99996 0.135 179
j004403-203346 xmm44-cwb-2c-221.0-f140w 1520370697.0 -1.5252 -4.5587 0.0211 1.00003 0.111 242
j004403-203346 xmm44-cwb-2d-238.0-f105w 1520371059.0 -2.1652 -3.8049 0.0102 0.99997 0.14 175
j004403-203346 xmm44-cwb-2d-238.0-f160w 1520370195.0 -2.3491 -3.9264 0.0213 1.00008 0.219 212
j004433+413704 ibf1-069.0-f814w 1524594976.0 1.9325999999998658 -1.1367999999999938 0.0 1.0 -1.0 -1
j004433+413704 ibf1-249.0-f110w 1524594956.0 -1.7432099999999764 1.9326800000000048 0.0 1.0 -1.0 -1
j004433+413704 ibf1-249.0-f160w 1524595034.0 0.4168500000000108 1.6674199999999928 0.0 1.0 -1.0 -1
j004433+413704 ibft-054.0-f110w 1524594996.0 0.8337099999999964 0.4168500000000108 0.0 1.0 -1.0 -1
