proposal_id,pi,count,prog_code
9836,"Ellis, Richard S.",43,8rq
9837,"Ferguson, Annette",10,8q8
9842,"Gizis, John Evangelos",7,8rw
9847,"Perlman, Eric S.",2,8o8
9856,"Chapman, Scott C.",9,8s0
9857,"De Marco, Orsola",6,8rh
9860,"Garnavich, Peter M.",120,8rc
9861,"Kalas, Paul George",17,8sk
9863,"Krist, John",1,8mv
9864,"Madore, Barry F.",2,8m9
9872,"Sanwal, Divas",9,8rz
9873,"Sarajedini, Ata",24,8re
9877,"Williger, Gerard",47,8sb
9884,"Armandroff, Taft E.",15,8qh
9890,"Fesen, Robert A.",28,8oo
9891,"Gilmore, Gerard F.",67,8ne
9892,"Jansen, Rolf A.",20,8og
9895,"Mulchaey, John S.",20,8n2
9896,"Munoz, Jose A.",1,8nw
9897,"ODea, Christopher P.",2,8rt
9898,"ODell, Charles Robert",1,8mf
9899,"Piotto, Giampaolo",2,8n3
9902,"Ridgway, Susan",11,8pr
9905,"Strauss, Michael A.",16,8np
9908,"Ziegler, Bodo",4,8n6
9919,"Ford, Holland",16,8pv
9974,"Peterson, Ruth C.",1,8qy
9977,"Bennett, David P.",32,8nr
9978,"Beckwith, Steven",190,8m8
9983,"Noll, Keith S.",13,8my
9984,"Rhodes, Jason D.",1767,8mb
9986,"Ford, Holland",1,8ot
9987,"Ford, Holland",17,8qj
9992,"Kirshner, Robert P.",1,8t7
10001,"Kaaret, Philip",4,8vo
10002,"Perlman, Eric S.",11,8w1
10003,"Sarazin, Craig L.",2,8vg
10004,"Tavecchio, F.",6,8v3
10005,"Lewin, Walter H. G.",6,8vv
10006,"Garcia, Michael R.",10,8vp
10008,"Grindlay, Jonathan E.",3,8vx
10009,"Grindlay, Jonathan E.",11,8vz
10043,"Riess, Adam",30,8ux
10048,"Mack, Jennifer",4,8ur
10056,"Gilliland, Ronald L",7,8ui
10058,"Walsh, Jeremy Richard",13,8uz
10086,"Beckwith, Steven",12,8wc
10089,"Noll, Keith S.",9,8wt
10092,"Scoville, Nicholas Z.",321,8xi
10094,"Peterson, Ruth C.",2,92t
10098,"Ruiz-Lapuente, Pilar",7,8yw
10099,"Walter, Frederick M.",6,90e
10101,"King, Ivan R.",3,91c
10105,"Sahu, Kailash C.",1,93h
10118,"Fesen, Robert A.",1,8zs
10119,"Fox, Derek",12,9c0
10120,"Anderson, Scott F.",13,921
10121,"Bailyn, Charles David",2,90c
10126,"Olszewski, Edward W.",18,906
10127,"Miley, George K.",30,8za
10128,"Ferguson, Annette",6,91m
10129,"Puzia, Thomas H.",9,8zq
10131,"Ciardullo, Robin",18,8zd
10134,"Davis, Marc",126,90r
10135,"Kulkarni, Shrinivas R.",78,93y
10136,"Bond, Howard E.",8,92p
10138,"Luhman, Kevin",40,8xs
10146,"Bedin, Luigi R.",6,90a
10152,"Donahue, Megan",23,90i
10154,"Pello, Roser",2,8yi
10158,"Fassnacht, Christopher",22,935
10159,"Ellis, Richard S.",9,8ze
10166,"Borucki, William J.",6,91s
10172,"de Grijs, Richard",1,8z2
10174,"Koopmans, Leon",78,93i
10181,"Bentz, Misty C.",6,902
10182,"Filippenko, Alex V.",12,90z
10185,"Sahai, Raghvendra",13,92k
10187,"Smartt, Stephen J.",5,90n
10188,"Whitmore, Brad C.",16,91k
10189,"Riess, Adam",222,94s
10190,"Garnett, Donald R",94,90o
10195,"Rhoads, James",32,924
10196,"Franx, Marijn",54,90t
10200,"Jones, Christine",4,907
10201,"Conselice, Christopher",10,916
10207,"Prochaska, Jason X.",6,91z
10210,"Tully, R. Brent",42,8yy
10213,"Zane, Silvia",4,92v
10214,"Soria, Roberto",4,92w
10216,"Treu, Tommaso L.",20,8zb
10217,"Jordan, Andres",86,90x
10227,"Goudfrooij, Paul",34,92y
10228,"Kalas, Paul George",9,93m
10229,"Piatek, Slawomir Stanislaw",5,934
10235,"Karachentsev, Igor Dmitrievich",33,8xz
10237,"Fan, Xiaohui",4,90k
10242,"Cole, Andrew A.",12,938
10246,"Robberto, Massimo",419,93k
10248,"Nota, Antonella",28,92f
10250,"Huchra, John P.",24,90l
10252,"Anderson, Jay",2,923
10257,"Anderson, Jay",10,928
10258,"Kretchmer, Claudia",80,91h
10260,"Harris, William Edgar",24,8z0
10263,"Kirshner, Robert P.",27,91o
10265,"Brown, Thomas M.",56,92c
10267,"Clayton, Geoffrey C.",11,8zv
10273,"Crotts, Arlin P. S.",62,92g
10277,"West, Michael J.",14,90q
10286,"Fesen, Robert A.",24,8zm
10287,"Ford, Holland",3,90v
10325,"Ford, Holland",36,91j
10326,"Ford, Holland",16,90y
10327,"Ford, Holland",19,914
10330,"Ford, Holland",29,917
10334,"Ford, Holland",16,911
10339,"Riess, Adam",197,91w
10340,"Riess, Adam",182,92q
10342,"Noll, Keith S.",6,93s
10343,"Sambruna, Rita M.",1,94e
10349,"Lewin, Walter H. G.",8,954
10352,"Marshall, Herman L.",15,974
10353,"Grindlay, Jonathan E.",8,95a
10354,"Jenkins, Leigh",3,958
10368,"Riess, Adam",30,94f
10374,"Giavalisco, Mauro",10,97e
10375,"Mack, Jennifer",4,94r
10392,"Noll, Keith S.",12,955
10393,"Noll, Keith S.",12,95d
10394,"Tanvir, Nial Rahil",41,96g
10395,"Gray, Meghan",80,96e
10396,"Gallagher, John S.",28,961
10397,"West, Michael J.",9,96f
10399,"Greenhill, Lincoln J.",76,96h
10400,"Chandar, Rupali",1,969
10402,"Chandar, Rupali",100,96r
10404,"Zirm, Andrew",32,962
10405,"Chapman, Scott C.",10,96v
10407,"Morrison, Heather",14,96q
10409,"Olofsson, Hans",8,96a
10411,"Ferraro, Francesco R.",6,973
10412,"Lacy, Mark D.",48,95w
10413,"Gregg, Michael D.",72,964
10416,"Rossa, Joern",4,95x
10417,"Fan, Xiaohui",7,96x
10418,"Stockton, Alan N.",6,95s
10420,"Ebeling, Harald",35,970
10421,"Canalizo, Gabriela",27,95y
10424,"Richer, Harvey B.",72,971
10425,"Meixner, Margaret",12,96k
10429,"Blakeslee, John P.",125,95t
10430,"Armandroff, Taft E.",6,963
10433,"Madore, Barry F.",10,95o
10436,"Mathur, Smita",3,96i
10437,"Bunker, Andrew",8,96w
10438,"Putman, Mary E.",8,96l
10443,"Biretta, John A.",9,990
10444,"Pavlovsky, Cheryl",9,991
10452,"Beckwith, Steven",75,97c
10455,"Biretta, John A.",1,97s
10458,"Biretta, John A.",7,99c
10459,"Biretta, John A.",8,99d
10466,"Sahu, Kailash C.",1,9ev
10471,"King, Ivan R.",1,9ag
10472,"Momany, Yazan",1,9cj
10476,"Sahu, Kailash C.",5,9fo
10486,"Agol, Eric",2,9cq
10487,"Ardila, David R.",33,9bc
10490,"Donahue, Megan",2,9cn
10491,"Ebeling, Harald",24,9fc
10492,"Erben, Thomas",3,9c9
10493,"Gal-Yam, Avishay",14,9dd
10494,"Koopmans, Leon",30,9c7
10495,"McNamara, Brian R.",1,9bo
10496,"Perlmutter, Saul",336,9ep
10497,"Riess, Adam",34,9cb
10498,"Smartt, Stephen J.",6,9ar
10499,"Tran, Kim-Vy",10,9bn
10500,"Bedin, Luigi R.",4,9cx
10503,"Da Costa, Gary Stewart",38,9bd
10504,"Ellis, Richard S.",47,9g9
10505,"Gallart, Carme",95,9fz
10509,"Kochanek, Chris S.",4,9e3
10515,"Peng, Eric W.",36,9et
10518,"Schechter, Paul",2,9dz
10520,"Smecker-Hane, Tammy A.",6,9gz
10521,"Surace, Jason A.",25,9aj
10522,"Calzetti, Daniela",3,9dr
10523,"de Jong, Roelof S.",70,9ec
10524,"Ferraro, Francesco R.",13,9bm
10526,"Hester, Jeff J.",12,9fx
10528,"Kenney, Jeff D.",3,9dj
10529,"Kundu, Arunav",2,9eb
10530,"Malhotra, Sangeeta",262,9fa
10531,"Mullis, Christopher",8,9b8
10532,"Noeske, Kai G.",25,9db
10533,"Oliveira, Joana M.",2,9cs
10536,"Sahai, Raghvendra",30,9fj
10539,"Stapelfeldt, Karl",71,9f9
10541,"Georganopoulos, Markos",2,9g6
10543,"Baltz, Edward A.",120,9e0
10546,"Fabian, Andrew C.",16,9bb
10549,"Kirshner, Robert P.",2,9e8
10550,"Kissler-Patig, Markus",12,9cr
10551,"Kulkarni, Shrinivas R.",125,9e7
10552,"Robberto, Massimo",6,9dv
10554,"Sharples, Ray M.",20,9cz
10558,"West, Michael J.",10,9bq
10562,"Disney, Michael J.",3,9do
10563,"Dye, Simon",7,9c5
10565,"Galleti, Silvia",2,9an
10566,"Gouliermis, Dimitrios",6,9aa
10567,"Jerjen, Helmut",2,9cw
10569,"Keeton, Charles R.",26,9dw
10570,"Kishimoto, Makoto",3,9co
10572,"Lauer, Tod R.",16,9h9
10573,"Mateo, Mario L.",11,9d6
10574,"Mei, Simona",40,9dt
10575,"Oestlin, Goeran",14,9fv
10576,"Prochter, Gabriel E.",10,9ci
10579,"Roberts, Timothy Paul",12,9h8
10580,"Saviane, Ivo",2,9ek
10581,"Shapley, Alice E.",20,9bt
10582,"Sivakoff, Gregory R.",26,9by
10583,"Stubbs, Christopher W.",3,9e5
10584,"Zezas, Andreas",79,9el
10585,"Aloisi, Alessandra",7,9cd
10586,"Aloisi, Alessandra",25,9ej
10587,"Bolton, Adam S.",72,9em
10588,"Brotherton, Michael S.",29,9bk
10590,"Cole, Andrew A.",16,9ck
10591,"Dey, Arjun",2,9ax
10592,"Evans, Aaron S.",178,9cv
10594,"Goudfrooij, Paul",17,9ew
10595,"Goudfrooij, Paul",25,9es
10596,"Ho, Luis C.",36,9ex
10597,"Jordan, Andres",9,9b4
10599,"Kalas, Paul George",3,9gh
10602,"Maiz Apellaniz, Jesus",36,9eu
10603,"Padgett, Deborah",9,9f5
10604,"Sarajedini, Ata",5,9b6
10605,"Skillman, Evan D.",24,9cm
10608,"Thilker, David",14,9ez
10615,"Anderson, Scott F.",42,9dx
10616,"Berger, Edo",2,9ix
10618,"Bond, Howard E.",18,9bs
10622,"Dolphin, Andrew Eugene",18,9bg
10624,"Fox, Derek",48,9h5
10626,"Loh, Yeong-Shang",56,9en
10630,"Pasquali, Anna",20,9b3
10631,"Puzia, Thomas H.",8,9df
10632,"Stiavelli, Massimo",271,9cu
10633,"Tanvir, Nial Rahil",5,9ln
10634,"von Hippel, Theodore",6,9dm
10635,"Ziegler, Bodo",16,9bh
10695,"Ford, Holland",28,9bw
10696,"Ford, Holland",12,9e1
10697,"Ford, Holland",3,9c4
10698,"Ford, Holland",2,9ba
10703,"Ebeling, Harald",2,9ay
10705,"Noll, Keith S.",3,9fl
10710,"Noll, Keith S.",4,9ed
10711,"Noll, Keith S.",2,9ee
10713,"Noll, Keith S.",3,9fn
10715,"Capaccioli, Massimo",2,9gq
10730,"Chiaberge, Marco",9,9i9
10737,"Mack, Jennifer",41,9ir
10740,"Bohlin, Ralph C.",16,9j9
10753,"Diaz-Miller, Rosa",42,9it
10760,"Garcia, Michael R.",8,9ju
10762,"Harris, Daniel E.",4,9k3
10765,"Zezas, Andreas",6,9k5
10766,"Zezas, Andreas",4,9k6
10768,"Kaaret, Philip",7,9jn
10769,"Kaaret, Philip",2,9jq
10771,"Sirianni, Marco",23,9kk
10775,"Sarajedini, Ata",138,9l9
10776,"Mountain, Matt",76,9l0
10780,"Fruchter, Andrew S.",1,9m8
10787,"Charlton, Jane C.",18,9q7
10793,"Gal-Yam, Avishay",9,9oi
10794,"Geha, Marla C.",2,9t6
10795,"Heckman, Timothy M.",4,9pg
10798,"Koopmans, Leon",4,9qc
10802,"Riess, Adam",206,9r7
10803,"Smartt, Stephen J.",2,9ox
10809,"van Dokkum, Pieter",20,9r0
10812,"Piatek, Slawomir Stanislaw",1,9qv
10813,"Bowen, David V.",30,9p0
10815,"Brown, Thomas M.",1,9ou
10816,"Brown, Thomas M.",50,9p4
10817,"Chen, Hsiao-Wen",3,9p9
10820,"Dressler, Alan",2,9qi
10824,"Gnedin, Oleg Y.",5,9o2
10825,"Holden, Bradford",12,9si
10829,"Martini, Paul",15,9np
10831,"Moustakas, Leonidas A",2,9qj
10835,"Sivakoff, Gregory R.",8,9nm
10842,"Cook, Kem",75,9p1
10846,"Gladders, Michael D.",6,9q8
10848,"Lacy, Mark D.",12,9om
10851,"Sahai, Raghvendra",1,9qo
10856,"Thompson, Rodger I.",16,9ni
10858,"Yan, Lin",1,9nd
10861,"Carter, David",60,9ty
10863,"Gonzalez, Anthony Hernan",3,9pt
10867,"Kirshner, Robert P.",2,9ot
10874,"Zheng, Wei",8,9qt
10875,"Ebeling, Harald",6,9s6
10876,"Kneib, Jean-Paul Richard",15,9s8
10880,"Schmitt, Henrique R.",12,9s9
10881,"Smith, Graham",17,9sa
10885,"Aloisi, Alessandra",9,9qw
10886,"Bolton, Adam S.",38,9op
10889,"de Jong, Roelof S.",48,9on
10890,"Dey, Arjun",17,9qg
10892,"Garnavich, Peter M.",2,9ow
10895,"Kalas, Paul George",26,9qb
10896,"Kalas, Paul George",51,9ps
10904,"Thilker, David",3,9qx
10905,"Tully, R. Brent",17,9ov
10909,"Bersier, David",10,9te
10911,"Blakeslee, John P.",12,9p3
10913,"Bond, Howard E.",2,9sf
10915,"Dalcanton, Julianne",117,9ra
10917,"Fox, Derek",24,9r9
10918,"Freedman, Wendy L.",48,9o4
10920,"Heckman, Timothy M.",7,9pj
10921,"ODell, Charles Robert",1,9nj
10922,"Piotto, Giampaolo",4,9oy
10994,"Ford, Holland",4,9q1
10996,"Ford, Holland",8,9r2
10997,"Ford, Holland",2,9po
11003,"Lubin, Lori M.",30,9sw
11013,"Garcia, Michael R.",1,9ud
11099,"Bradac, Marusa",4,a0m
11108,"Hu, Esther M.",8,a2g
11142,"Yan, Lin",82,a2s
11143,"Baker, Andrew",2,a28
11144,"Bouwens, Rychard",2,a1d
11148,"Debes, John Henry",4,a0k
11149,"Egami, Eiichi",26,a2k
11150,"Graham, James R.",8,a1s
11153,"Malhotra, Sangeeta",30,a2t
11166,"Woo, Jong-Hak",4,9zg
11189,"Tanvir, Nial Rahil",22,a21
11202,"Koopmans, Leon",29,a1l
11205,"Muzerolle, James",14,a2a
11208,"Treu, Tommaso L.",9,9zf
11219,"Capetti, Alessandro",12,9zl
11233,"Piotto, Giampaolo",7,a2l
11235,"Surace, Jason A.",15,a1e
11338,"Garcia, Michael R.",2,a5p
11340,"Grindlay, Jonathan E.",2,a5y
11343,"Levan, Andrew James",3,a4t
11359,"OConnell, Robert W.",79,b6o
11360,"OConnell, Robert W.",175,b6w
11371,"Sirianni, Marco",14,a7z
11379,"Fruchter, Andrew S.",1,a8z
11397,"Mack, Jennifer",3,a9b
11421,"Bushouse, Howard A.",3,ab5
11424,"Hartig, George",18,aal
11434,"Hartig, George",44,aat
11436,"Hartig, George",5,ab7
11437,"Hartig, George",1,ab6
11438,"Hartig, George",20,abk
11439,"Hartig, George",10,abl
11442,"Dressel, Linda L.",3,ab0
11444,"Dressel, Linda L.",43,abj
11445,"Dressel, Linda L.",22,abi
11447,"McCullough, Peter",12,abz
11452,"Kim Quijano, Jessica",76,aby
11453,"Hilbert, Bryan",84,abf
11495,"Haswell, Carole A.",2,b00
11502,"Noll, Keith S.",54,acr
11505,"Noll, Keith S.",12,acd
11507,"Noll, Keith S.",3,abu
11515,"Biagetti, Carl",16,acs
11519,"Green, James Carswell",8,b4l
11520,"Green, James Carswell",20,b4r
11523,"Green, James Carswell",7,b6l
11524,"Green, James Carswell",8,b4q
11528,"Green, James Carswell",11,b6d
11530,"Green, James Carswell",5,b3y
11531,"Green, James Carswell",4,b4p
11533,"Green, James Carswell",9,b3q
11534,"Green, James Carswell",10,b4m
11541,"Green, James Carswell",15,b68
11548,"Megeath, Tom",126,b0l
11549,"Brown, Thomas M.",84,aax
11552,"Bushouse, Howard A.",38,ab9
11554,"Bastian, Nate",4,b1t
11557,"Canalizo, Gabriela",46,b5t
11560,"Ebeling, Harald",2,b1y
11563,"Illingworth, Garth D.",229,b5x
11564,"Kaplan, David L.",9,b28
11565,"Lepine, Sebastien",54,b3w
11570,"Riess, Adam",160,b1f
11575,"Van Dyk, Schuyler D.",5,b4u
11577,"Whitmore, Brad C.",26,b5u
11578,"Aloisi, Alessandra",10,b4z
11580,"Balick, Bruce",20,b1m
11581,"Bildsten, Lars",12,b20
11582,"Blain, Andrew",3,b34
11583,"Bregman, Joel N.",16,b6g
11584,"Chiboucas, Kristin",40,b3c
11586,"Dotter, Aaron L.",12,b16
11587,"Fan, Xiaohui",2,b21
11588,"Gavazzi, Raphael",22,b4a
11589,"Gnedin, Oleg Y.",11,b7g
11590,"Jha, Saurabh W.",8,b1i
11591,"Kneib, Jean-Paul Richard",35,b5m
11593,"Liu, Michael C.",9,b1r
11594,"OMeara, John M.",54,b3d
11595,"OMeara, John M.",15,b4x
11597,"Stanford, Spencer Adam",81,b5l
11598,"Tumlinson, Jason",2,b5n
11599,"Wade, Richard A.",31,b57
11600,"Weiner, Benjamin",214,b37
11602,"Allam, Sahar S.",15,b48
11603,"Andrews, Jennifer",48,b2t
11604,"Robinson, Andrew",19,b6e
11605,"Barman, Travis Stuart",31,b52
11609,"Chaname, Julio",1,b4j
11610,"Cody, Ann Marie",112,b5s
11613,"de Jong, Roelof S.",96,b2p
11615,"Ferraro, Francesco R.",26,b5r
11618,"Huard, Tracy L.",32,b63
11620,"Keel, William Clifford",3,b56
11622,"Knutson, Heather A.",1,bwk
11624,"Komossa, Stefanie",7,b3o
11627,"Nelemans, Gijs",3,b49
11628,"Noyola, Eva",20,b2y
11629,"Pavlov, George G.",1,b43
11631,"Reid, I. Neill",20,b0v
11632,"Rich, R. Michael",15,b2f
11633,"Rich, R. Michael",21,b39
11636,"Siana, Brian",40,b61
11638,"Steidel, Charles C.",18,b3t
11643,"Zabludoff, Ann",25,b3v
11646,"Crotts, Arlin P. S.",6,b2q
11647,"Crotts, Arlin P. S.",47,b3h
11648,"Daddi, Emanuele",7,b3a
11653,"Kirshner, Robert P.",22,b7i
11655,"Kuijken, Konrad",18,b53
11657,"Stanghellini, Letizia",48,b1b
11658,"Turnshek, David A.",23,b6f
11661,"Bentz, Misty C.",9,b5e
11662,"Bentz, Misty C.",13,b5f
11663,"Brodwin, Mark",61,b2u
11664,"Brown, Thomas M.",96,b3m
